pid,tid,searchSeq,timeFromSearch,kind,resultUrl
2,3,0,118071,closePage,https://stackoverflow.com/questions/6116474/how-to-find-if-an-array-contains-a-specific-string-in-javascript-jquery
2,3,0,128068,copyProj,https://stackoverflow.com/questions/12462318/find-a-value-in-an-array-of-objects-in-javascript
2,3,0,156187,copyProj,https://stackoverflow.com/questions/12462318/find-a-value-in-an-array-of-objects-in-javascript
2,3,0,187561,openSig,https://stackoverflow.com/questions/6116474/how-to-find-if-an-array-contains-a-specific-string-in-javascript-jquery
2,3,0,193588,openSig,https://stackoverflow.com/questions/52460473/find-object-with-specific-value-in-array
2,3,0,198765,openCode,https://stackoverflow.com/questions/52460473/find-object-with-specific-value-in-array
2,3,0,208928,openSig,https://stackoverflow.com/questions/52460473/find-object-with-specific-value-in-array
2,3,0,214896,openSig,https://stackoverflow.com/questions/52460473/find-object-with-specific-value-in-array
2,3,0,219966,openPage,https://stackoverflow.com/questions/12462318/find-a-value-in-an-array-of-objects-in-javascript
2,3,0,428125,closePage,https://stackoverflow.com/questions/12462318/find-a-value-in-an-array-of-objects-in-javascript
2,1,0,1220,showProj,https://stackoverflow.com/questions/3978492/fastest-way-to-duplicate-an-array-in-javascript-slice-vs-for-loop
2,1,0,1220,showProj,https://stackoverflow.com/questions/42523881/how-to-clone-a-javascript-array-of-objects
2,1,0,1220,showProj,https://stackoverflow.com/questions/57222470/how-to-clone-an-array-and-push-new-value-in-a-chain
2,1,0,1220,showProj,https://stackoverflow.com/questions/62861485/make-clone-of-array-not-copy-of-reference-and-modify-the-new-array
2,1,0,1220,showProj,https://stackoverflow.com/questions/67176299/splice-method-used-on-a-copy-of-an-array-of-objects
2,1,0,1220,showProj,https://stackoverflow.com/questions/44808882/cloning-an-array-in-javascript-typescript
2,1,0,1220,showProj,https://stackoverflow.com/questions/53273218/javascript-deep-copy-an-array-containing-nested-objects-arrays-functions
2,1,0,1220,showProj,https://stackoverflow.com/questions/68764568/why-my-code-to-clone-an-array-doesnt-work-javascript
2,1,0,1220,showProj,https://stackoverflow.com/questions/597588/how-do-you-clone-an-array-of-objects-in-javascript
2,1,0,1220,showProj,https://stackoverflow.com/questions/48219487/javascript-how-to-clone-array-without-reference
2,1,0,1978,openPage,https://stackoverflow.com/questions/3978492/fastest-way-to-duplicate-an-array-in-javascript-slice-vs-for-loop
2,1,0,63003,closePage,https://stackoverflow.com/questions/3978492/fastest-way-to-duplicate-an-array-in-javascript-slice-vs-for-loop
2,1,0,64418,openPage,https://stackoverflow.com/questions/42523881/how-to-clone-a-javascript-array-of-objects
2,1,0,71107,closePage,https://stackoverflow.com/questions/42523881/how-to-clone-a-javascript-array-of-objects
2,1,0,72506,openPage,https://stackoverflow.com/questions/57222470/how-to-clone-an-array-and-push-new-value-in-a-chain
