pid,tid,searchSeq,rank,text
8,3,0,7,find(function)
8,3,0,8,T[].findIndex(function): number
8,3,0,9,"grep(unknown, function)"
8,5,0,0,format(string)
8,5,0,1,moment()
8,5,0,2,"moment(string, string)"
8,5,0,3,moment(unknown)
8,5,0,4,endOf(string)
8,5,0,5,moment(string)
8,5,0,6,dateFormatwithSec(string)
8,5,0,7,utc()
8,5,0,8,format()
8,5,0,9,T[].map(function): U[]
8,5,1,0,moment()
8,5,1,1,"add(number, string)"
8,5,1,2,format(string)
8,5,1,3,"moment(string, string)"
8,5,1,4,Date.getMonth(): number
8,5,1,5,Date.setMonth(number): number
8,5,1,6,"addMonths(Date, number)"
8,5,1,7,"diff(unknown, string)"
8,5,1,8,diff(unknown)
8,5,1,9,endOf(string)
9,3,0,0,"T[].reduce(function, U): U"
9,3,0,1,T[].filter(function): T[]
9,3,0,2,T[].find(function): T
9,3,0,3,T[].includes(T): boolean
9,3,0,4,filter(function)
9,3,0,5,T[].indexOf(T): number
9,3,0,6,T[].findIndex(function): number
9,3,0,7,T[].some(function): boolean
9,3,0,8,find(function)
9,3,0,9,T[].map(function): U[]
9,1,0,0,JSON.parse(string)
9,1,0,1,JSON.stringify(unknown): string
9,1,0,2,map(function)
9,1,0,3,T[].map(function): U[]
9,1,0,4,T[].slice(): T[]
9,1,0,5,JSON.stringify(function): string
9,1,0,6,slice()
9,1,0,7,slice(number)
9,1,0,8,T[].push(T[]): number
9,1,0,9,T[].forEach(function): void
9,5,0,0,duration(unknown)
9,5,0,1,diff(unknown)
9,5,0,2,format(string)
9,5,0,3,"subtract(number, string)"
9,5,0,4,moment()
9,5,0,5,Date.getDate(): number
9,5,0,6,moment(unknown)
9,5,0,7,Date.getTime(): number
9,5,0,8,Date.setDate(number): number
9,5,0,9,moment(string)
10,3,0,0,"T[].reduce(function, U): U"
10,3,0,1,T[].find(function): T
10,3,0,2,T[].filter(function): T[]
10,3,0,3,T[].includes(T): boolean
10,3,0,4,T[].indexOf(T): number
10,3,0,5,filter(function)
10,3,0,6,T[].findIndex(function): number
10,3,0,7,T[].some(function): boolean
10,3,0,8,find(function)
10,3,0,9,T[].map(function): U[]
10,1,0,0,JSON.parse(string)
10,1,0,1,JSON.stringify(unknown): string
10,1,0,2,map(function)
10,1,0,3,T[].map(function): U[]
10,1,0,4,T[].slice(): T[]
10,1,0,5,JSON.stringify(function): string
10,1,0,6,slice()
10,1,0,7,slice(number)
10,1,0,8,T[].push(T[]): number
10,1,0,9,T[].forEach(function): void
10,1,1,0,map(function)
10,1,1,1,JSON.stringify(unknown): string
10,1,1,2,JSON.parse(string)
10,1,1,3,State(unknown)
10,1,1,4,T[].map(function): U[]
10,1,1,5,clone()
10,1,1,6,slice()
10,1,1,7,T[].slice(): T[]
10,1,1,8,Param(object)
10,1,1,9,Fork(number)
10,5,0,0,"subtract(number, string)"
10,5,0,1,format(string)
10,5,0,2,moment()
10,5,0,3,"add(number, string)"
10,5,0,4,diff(unknown)
10,5,0,5,moment(string)
10,5,0,6,moment(number)
10,5,0,7,Number.toString(): string
10,5,0,8,unix()
10,5,0,9,duration(unknown)
11,2,0,0,T[].sort(function): this
11,2,0,1,sort(function)
11,2,0,2,ObjectConstructor.keys(object): string[]
11,2,0,3,"sortBy(unknown, string)"
11,2,0,4,T[].sort(): this
11,2,0,5,T[].reverse(): T[]
11,2,0,6,"object[].sortBy(string, string)"
11,2,0,7,T[].forEach(function): void
11,2,0,8,sort(typeof compare)
11,2,0,9,reverse()
11,6,0,0,use(unknown)
11,6,0,1,static(unknown)
11,6,0,2,"join(unknown, string)"
11,6,0,3,static(string)
11,6,0,4,"use(string, unknown)"
11,6,0,5,use(function)
11,6,0,6,"use(string, function)"
11,6,0,7,"get(string, unknown)"
11,6,0,8,"join(unknown, string, string)"
11,6,0,9,"get(string, function)"
12,2,0,0,T[].sort(function): this
12,2,0,1,sort(function)
12,2,0,2,ObjectConstructor.keys(object): string[]
12,2,0,3,"sortBy(unknown, string)"
12,2,0,4,T[].sort(): this
12,2,0,5,T[].reverse(): T[]
12,2,0,6,"object[].sortBy(string, string)"
12,2,0,7,T[].forEach(function): void
12,2,0,8,sort(typeof compare)
12,2,0,9,reverse()
12,1,0,0,JSON.parse(string)
12,1,0,1,JSON.stringify(unknown): string
12,1,0,2,map(function)
12,1,0,3,T[].map(function): U[]
12,1,0,4,T[].slice(): T[]
12,1,0,5,JSON.stringify(function): string
12,1,0,6,slice()
12,1,0,7,slice(number)
12,1,0,8,T[].push(T[]): number
12,1,0,9,T[].forEach(function): void
12,1,1,0,"T[].reduce(function, U): U"
12,1,1,1,JSON.parse(string)
12,1,1,2,JSON.stringify(object): string
12,1,1,3,JSON.stringify(unknown): string
12,1,1,4,"ObjectConstructor.assign(T, U): T & U"
12,1,1,5,clone(object)
12,1,1,6,"extend(boolean, object, object)"
12,1,1,7,structuredClone(object)
12,1,1,8,cloneDeep(function)
12,1,1,9,cloneDeep(object)
