pid,tid,onTask,inApp,inPage,toLoadFirst,toLoadLast,toOpen
34,4,144284,52771,50358,1268,1268,1280
34,3,105678,145915,88042,1247,1238,5317
34,1,50497,25043,0,2148,7983,6955
34,5,183946,34069,30288,3427,3188,568
34,6,332391,277653,36641,4809,8318,5606
35,2,222067,250092,0,6823,19233,12063
35,4,362816,297157,0,6394,11545,8870
35,3,85311,11125,8578,1210,1210,1363
35,1,43244,16929,12923,1212,1212,2816
35,5,298918,156715,6028,3646,3288,159583
35,6,147415,71278,9310,2599,8150,729
36,2,174427,0,0,0,0,0
36,4,266818,153839,146632,1215,1216,2484
36,3,138747,200791,0,3507,10589,12775
36,1,34618,0,0,0,0,0
36,5,327241,75561,70579,3269,5557,4982
36,6,,0,0,0,0,0
37,2,450135,83840,4429,1821,10907,53430
37,4,80720,93543,0,5347,9887,7657
37,3,20966,0,0,0,0,0
37,1,31717,10027,8076,1209,1209,768
37,5,134322,40710,36662,3360,3003,2001
37,6,812669,659727,450417,2817,6603,6967
38,2,49116,0,0,0,0,0
38,4,190256,104456,69753,1207,3781,30100
38,3,102747,0,0,0,0,0
38,1,65681,0,0,0,0,0
38,5,303379,526215,0,3739,8738,14738
38,6,427701,206287,134156,3553,2547,13578
39,2,184308,372466,31682,5496,17523,24246
39,4,222767,333310,0,5472,12715,37467
39,3,125379,325025,177501,1205,1205,12106
39,1,123087,143577,109443,1205,1204,17373
39,5,417754,369940,271816,4979,1212,51713
39,6,298901,380095,123869,2829,9416,5242
40,2,178069,21605,15909,1206,3743,3557
40,4,132730,57699,0,5560,10550,11545
40,3,113471,176366,0,7104,17664,11783
40,1,205973,17631,11753,1207,1208,4687
40,5,428219,82832,0,6026,8101,2003
40,6,424305,299774,274173,2950,4096,3169
