pid,tid,search,result,loadSeq,time
20964,clone,0,5,5,1290
20964,clone,0,6,6,1290
20964,clone,0,7,7,1291
20964,clone,0,8,8,1291
20964,clone,0,9,9,1291
20964,currency,0,0,0,5819
20964,currency,0,1,1,6184
20964,currency,0,2,2,6603
20964,currency,0,3,3,7358
20964,currency,0,4,4,8023
20964,currency,0,5,5,8447
20964,currency,0,6,6,8817
20964,currency,0,7,7,10219
20964,currency,0,8,8,10589
20964,serve,0,0,0,1849
20964,serve,0,1,1,1849
20964,serve,0,2,2,1849
20964,serve,0,3,3,1849
20964,serve,0,4,4,1849
20964,serve,0,5,5,1849
20964,serve,0,6,6,1849
20964,serve,0,7,7,1849
20964,serve,0,8,8,1850
20964,serve,0,9,9,1850
20964,find,0,0,0,4659
20964,find,0,1,1,5916
20964,find,0,2,2,6934
20964,find,0,3,3,9604
20964,find,0,4,4,14216
20964,find,0,5,5,15169
20964,find,0,6,6,18809
20964,recent,0,0,0,11544
20964,recent,0,1,1,17867
20964,recent,0,2,2,22023
20998,currency,0,0,0,1242
20998,currency,0,1,1,1242
20998,currency,0,2,2,1242
20998,currency,0,3,3,1242
20998,currency,0,4,4,1242
20998,currency,0,5,5,1242
20998,currency,0,6,6,1242
20998,currency,0,7,7,1242
20998,currency,0,8,8,1242
20998,currency,0,9,9,1243
20998,find,0,0,0,1215
20998,find,0,1,1,1215
20998,find,0,2,2,1216
20998,find,0,3,3,1216
20998,find,0,4,4,1216
20998,find,0,5,5,1216
20998,find,0,6,6,1216
20998,find,0,7,7,1216
20998,find,0,8,8,1216
20998,find,0,9,9,1216
20998,sort,0,0,0,6203
20998,sort,0,1,1,6697
20998,sort,0,2,2,7649
20998,sort,0,3,3,8400
20998,sort,0,4,4,9077
20998,sort,0,5,5,14691
20998,sort,0,6,6,15374
20998,sort,0,7,7,15743
20998,sort,0,8,8,16821
20998,sort,0,9,9,17796
20998,recent,0,0,0,3939
20998,recent,0,1,1,3939
20998,recent,0,2,2,3940
20998,recent,0,3,3,3940
20998,recent,0,4,4,3940
20998,recent,0,5,5,3940
20998,recent,0,6,6,3940
20998,recent,0,7,7,3940
20998,recent,0,8,8,3940
20998,recent,0,9,9,3940
20998,recent,1,0,0,5719
20998,recent,1,1,1,5719
20998,recent,1,2,2,5719
20998,recent,1,3,3,5720
20998,recent,1,4,4,5720
20998,recent,1,5,5,5720
20998,recent,1,6,6,5720
20998,recent,1,7,7,5720
20998,recent,1,8,8,5720
20998,recent,1,9,9,5720
20998,clone,0,0,0,4179
20998,clone,0,1,1,5546
20998,clone,0,2,2,6217
20998,clone,0,3,3,7284
20998,clone,0,4,4,7695
20998,clone,0,5,5,10351
20998,clone,0,6,6,10734
20998,clone,0,7,7,11074
20998,clone,0,8,8,14899
20998,clone,0,9,9,15144
20998,serve,0,0,0,3853
20998,serve,0,1,1,4369
20998,serve,0,2,2,4739
20998,serve,0,3,3,4948
20998,serve,0,4,4,5659
20998,serve,0,5,5,6097
20998,serve,0,6,6,6476
20998,serve,0,7,7,7041
20998,serve,0,8,8,7725
20998,serve,0,9,9,7994
21752,sort,0,0,0,1222
21752,sort,0,1,1,1222
21752,sort,0,2,2,1222
21752,sort,0,3,3,1222
21752,sort,0,4,4,1222
21752,sort,0,5,5,1222
21752,sort,0,6,6,1222
21752,sort,0,7,7,1222
21752,sort,0,8,8,1222
21752,sort,0,9,9,1222
21752,sort,1,0,0,2631
21752,sort,1,1,1,2631
21752,sort,1,2,2,2631
21752,sort,1,3,3,2631
21752,sort,1,4,4,2631
21752,sort,1,5,5,2631
21752,sort,1,6,6,2631
21752,sort,1,7,7,2631
21752,sort,1,8,8,2631
21752,sort,1,9,9,2631
21752,clone,0,0,0,1214
21752,clone,0,1,1,1214
21752,clone,0,2,2,1214
21752,clone,0,3,3,1214
21752,clone,0,4,4,1214
21752,clone,0,5,5,1214
21752,clone,0,6,6,1214
21752,clone,0,7,7,1214
21752,clone,0,8,8,1214
21752,clone,0,9,9,1214
21752,find,0,0,0,4318
21752,find,0,1,1,5475
21752,find,0,2,2,6440
21752,find,0,3,3,9150
21752,find,0,4,4,13899
21752,find,0,5,5,14751
21752,find,0,6,6,18807
21752,currency,0,0,0,5594
21752,currency,0,1,1,6086
21752,currency,0,2,2,6527
21752,currency,0,3,3,7403
21752,currency,0,4,4,8033
21752,currency,0,5,5,8391
21752,currency,0,6,6,8678
21752,currency,0,7,7,10012
21752,currency,0,8,8,10492
21752,serve,0,0,0,2641
21752,serve,0,1,1,2641
21752,serve,0,2,2,2641
21752,serve,0,3,3,2641
21752,serve,0,4,4,2641
21752,serve,0,5,5,2641
21752,serve,0,6,6,2641
21752,serve,0,7,7,2641
21752,serve,0,8,8,2641
21752,serve,0,9,9,2641
21752,serve,1,0,0,1253
21752,serve,1,1,1,1253
21752,serve,1,2,2,1253
21752,serve,1,3,3,1253
21752,serve,1,4,4,1253
21752,serve,1,5,5,1253
21752,serve,1,6,6,1253
21752,serve,1,7,7,1253
21752,serve,1,8,8,1253
21752,serve,1,9,9,1253
21752,serve,2,0,0,3060
21752,serve,2,1,1,3060
21752,serve,2,2,2,3060
21752,serve,2,3,3,3060
21752,serve,2,4,4,3060
21752,serve,2,5,5,3060
21752,serve,2,6,6,3060
21752,serve,2,7,7,3060
21752,serve,2,8,8,3060
21752,serve,2,9,9,3060
27362,sort,0,0,0,1206
27362,sort,0,1,1,1206
27362,sort,0,2,2,1206
27362,sort,0,3,3,1206
27362,sort,0,4,4,1206
27362,sort,0,5,5,1206
27362,sort,0,6,6,1206
27362,sort,0,7,7,1206
27362,sort,0,8,8,1206
27362,sort,0,9,9,1206
27362,currency,0,0,0,1207
27362,currency,0,1,1,1207
27362,currency,0,2,2,1207
27362,currency,0,3,3,1207
27362,currency,0,4,4,1207
27362,currency,0,5,5,1207
27362,currency,0,6,6,1207
27362,currency,0,7,7,1207
27362,currency,0,8,8,1207
27362,currency,0,9,9,1208
21752,recent,0,0,0,3960
21752,recent,0,1,1,4396
21752,recent,0,2,2,5041
21752,recent,0,3,3,5559
21752,recent,0,4,4,6193
21752,recent,0,5,5,6411
21752,recent,0,6,6,6655
21752,recent,0,7,7,7466
21752,recent,0,8,8,8046
21752,recent,0,9,9,9070
21752,recent,1,0,0,2822
21752,recent,1,1,1,3405
21752,recent,1,2,2,6485
21752,recent,1,3,3,7103
21752,recent,1,4,4,7615
21752,recent,1,5,5,7878
21752,recent,1,6,6,8392
21752,recent,1,7,7,11479
21752,recent,1,8,8,12221
21752,recent,1,9,9,13202
27362,clone,0,4,0,1915
27362,clone,0,2,1,3351
27362,clone,0,3,2,4359
27362,clone,0,6,3,4394
27362,clone,0,7,4,5171
27362,clone,0,1,5,5215
27362,clone,0,9,6,5704
27362,clone,0,5,7,7915
27362,clone,0,0,8,9001
27362,clone,0,8,9,10173
27362,find,0,2,0,2047
27362,find,0,1,1,2696
27362,find,0,0,2,5581
27362,find,0,3,3,6253
27362,find,0,5,4,6959
27362,find,0,4,5,9575
27362,find,0,7,6,9847
27362,find,0,8,7,10735
27362,find,0,9,8,11040
27362,find,0,6,9,11832
27362,serve,0,0,0,2632
27362,serve,0,1,1,2632
27362,serve,0,2,2,2632
27362,serve,0,3,3,2632
27362,serve,0,4,4,2632
27362,serve,0,5,5,2632
27362,serve,0,6,6,2632
27362,serve,0,7,7,2632
27362,serve,0,8,8,2632
27362,serve,0,9,9,2632
27362,serve,1,0,0,2882
27362,serve,1,1,1,2882
27362,serve,1,2,2,2882
27362,serve,1,3,3,2882
27362,serve,1,4,4,2882
27362,serve,1,5,5,2882
27362,serve,1,6,6,2882
27362,serve,1,7,7,2882
27362,serve,1,8,8,2882
27362,serve,1,9,9,2882
29016,sort,0,0,0,1219
29016,sort,0,1,1,1219
29016,sort,0,2,2,1220
29016,sort,0,3,3,1220
29016,sort,0,4,4,1220
29016,sort,0,5,5,1220
29016,sort,0,6,6,1220
29016,sort,0,7,7,1221
29016,sort,0,8,8,1221
29016,sort,0,9,9,1221
27362,recent,0,4,0,3358
27362,recent,0,1,1,5641
27362,recent,0,0,2,5755
27362,recent,0,3,3,6141
27362,recent,0,6,4,7563
27362,recent,0,9,5,7793
27362,recent,0,2,6,10828
27362,recent,0,7,7,11319
29016,currency,0,0,0,1218
29016,currency,0,1,1,1218
29016,currency,0,2,2,1218
29016,currency,0,3,3,1218
29016,currency,0,4,4,1218
29016,currency,0,5,5,1218
29016,currency,0,6,6,1218
29016,currency,0,7,7,1218
29016,currency,0,8,8,1218
29016,currency,0,9,9,1218
29016,currency,1,0,0,1318
29016,currency,1,1,1,1318
29016,currency,1,2,2,1318
29016,currency,1,3,3,1319
29016,currency,1,4,4,1319
29016,currency,1,5,5,1319
29016,currency,1,6,6,1319
29016,currency,1,7,7,1319
29016,currency,1,8,8,1319
29016,currency,1,9,9,1319
29016,find,0,0,0,3609
29016,find,0,1,1,4761
29016,find,0,2,2,5709
29016,find,0,3,3,8467
29016,find,0,4,4,13093
29016,find,0,5,5,13945
29016,find,0,6,6,17839
29016,find,0,7,7,19818
29016,recent,0,0,0,3267
29016,recent,0,1,1,4786
29016,recent,0,2,2,6146
29016,recent,0,3,3,7464
29016,recent,0,4,4,7920
29016,recent,0,5,5,8689
29016,recent,0,6,6,9127
29016,recent,0,7,7,9573
29016,recent,0,8,8,9926
29016,recent,0,9,9,10811
29016,serve,0,0,0,3594
29016,serve,0,1,1,3594
29016,serve,0,2,2,3594
29016,serve,0,3,3,3594
29016,serve,0,4,4,3594
29016,serve,0,5,5,3594
29016,serve,0,6,6,3594
29016,serve,0,7,7,3594
29016,serve,0,8,8,3594
29016,serve,0,9,9,3594
29016,serve,1,0,0,2393
29016,serve,1,1,1,2393
29016,serve,1,2,2,2393
29016,serve,1,3,3,2393
29016,serve,1,4,4,2393
29016,serve,1,5,5,2393
29016,serve,1,6,6,2393
29016,serve,1,7,7,2393
29016,serve,1,8,8,2393
29016,serve,1,9,9,2393
29016,serve,2,0,0,4077
29016,serve,2,1,1,4077
29016,serve,2,2,2,4077
29016,serve,2,3,3,4077
29016,serve,2,4,4,4077
29016,serve,2,5,5,4077
29016,serve,2,6,6,4077
29016,serve,2,7,7,4077
29016,serve,2,8,8,4077
29016,serve,2,9,9,4077
29016,serve,3,0,0,6690
29016,serve,3,1,1,6690
29016,serve,3,2,2,6690
29016,serve,3,3,3,6691
29016,serve,3,4,4,6691
29016,serve,3,5,5,6691
29016,serve,3,6,6,6691
29016,serve,3,7,7,6691
29016,serve,3,8,8,6691
29016,serve,3,9,9,6691
30065,sort,0,0,0,8478
30065,sort,0,1,1,9010
30065,sort,0,2,2,9968
30065,sort,0,3,3,10811
30065,sort,0,4,4,11423
30065,sort,0,5,5,17089
30065,sort,0,6,6,17991
30065,sort,0,7,7,18169
30065,sort,0,8,8,19433
30065,sort,0,9,9,20724
30065,clone,0,0,0,1228
30065,clone,0,1,1,1228
30065,clone,0,2,2,1228
30065,clone,0,3,3,1228
30065,clone,0,4,4,1228
30065,clone,0,5,5,1228
30065,clone,0,6,6,1228
30065,clone,0,7,7,1229
30065,clone,0,8,8,1229
30065,clone,0,9,9,1229
30065,recent,0,0,0,3235
30065,recent,0,1,1,3235
30065,recent,0,2,2,3235
30065,recent,0,3,3,3235
30065,recent,0,4,4,3235
30065,recent,0,5,5,3235
30065,recent,0,6,6,3235
30065,recent,0,7,7,3235
30065,recent,0,8,8,3235
30065,recent,0,9,9,3235
30065,serve,0,0,0,6572
30065,serve,0,1,1,7171
30065,serve,0,2,2,7445
30065,serve,0,3,3,7739
30065,serve,0,4,4,8158
30065,serve,0,5,5,8715
30065,serve,0,6,6,9323
30065,serve,0,7,7,9753
30065,serve,0,8,8,10126
30065,serve,0,9,9,10311
31472,currency,0,0,0,1209
31472,currency,0,1,1,1209
31472,currency,0,2,2,1209
31472,currency,0,3,3,1209
31472,currency,0,4,4,1209
31472,currency,0,5,5,1209
31472,currency,0,6,6,1209
31472,currency,0,7,7,1209
31472,currency,0,8,8,1209
31472,currency,0,9,9,1210
31472,find,0,0,0,1209
31472,find,0,1,1,1209
31472,find,0,2,2,1209
31472,find,0,3,3,1209
31472,find,0,4,4,1210
31472,find,0,5,5,1210
31472,find,0,6,6,1210
31472,find,0,7,7,1210
31472,find,0,8,8,1210
31472,find,0,9,9,1210
31472,sort,0,0,0,6086
31472,sort,0,1,1,6542
31472,sort,0,2,2,7632
31472,sort,0,3,3,8341
31472,sort,0,4,4,8905
31472,sort,0,5,5,14482
31472,sort,0,6,6,15206
31472,sort,0,7,7,15563
31472,sort,0,8,8,16766
31472,sort,0,9,9,17540
31472,recent,0,0,0,3599
31472,recent,0,1,1,3599
31472,recent,0,2,2,3599
31472,recent,0,3,3,3599
31472,recent,0,4,4,3599
31472,recent,0,5,5,3599
31472,recent,0,6,6,3599
31472,recent,0,7,7,3599
31472,recent,0,8,8,3599
31472,recent,0,9,9,3599
31472,recent,1,0,0,1233
31472,recent,1,1,1,1233
31472,recent,1,2,2,1233
31472,recent,1,3,3,1233
31472,recent,1,4,4,1233
31472,recent,1,5,5,1233
31472,recent,1,6,6,1233
31472,recent,1,7,7,1233
31472,recent,1,8,8,1233
31472,recent,1,9,9,1233
31472,recent,2,0,0,4883
31472,recent,2,1,1,4883
31472,recent,2,2,2,4883
31472,recent,2,3,3,4883
31472,recent,2,4,4,4883
31472,recent,2,5,5,4883
31472,recent,2,6,6,4883
31472,recent,2,7,7,4883
31472,recent,2,8,8,4883
31472,recent,2,9,9,4883
31472,recent,3,0,0,1380
31472,recent,3,1,1,1380
31472,recent,3,2,2,1380
31472,recent,3,3,3,1380
31472,recent,3,4,4,1380
31472,recent,3,5,5,1380
31472,recent,3,6,6,1380
31472,recent,3,7,7,1380
31472,recent,3,8,8,1380
31472,recent,3,9,9,1380
31472,recent,4,0,0,2331
31472,recent,4,1,1,2331
31472,recent,4,2,2,2331
31472,recent,4,3,3,2331
31472,recent,4,4,4,2331
31472,recent,4,5,5,2331
31472,recent,4,6,6,2331
31472,recent,4,7,7,2331
31472,recent,4,8,8,2331
31472,recent,4,9,9,2331
31472,recent,5,0,0,1706
31472,recent,5,1,1,1706
31472,recent,5,2,2,1706
31472,recent,5,3,3,1706
31472,recent,5,4,4,1706
31472,recent,5,5,5,1706
31472,recent,5,6,6,1706
31472,recent,5,7,7,1706
31472,recent,5,8,8,1706
31472,recent,5,9,9,1706
31472,recent,6,0,0,1226
31472,recent,6,1,1,1226
31472,recent,6,2,2,1226
31472,recent,6,3,3,1226
31472,recent,6,4,4,1226
31472,recent,6,5,5,1227
31472,recent,6,6,6,1227
31472,recent,6,7,7,1227
31472,recent,6,8,8,1227
31472,recent,6,9,9,1227
31472,recent,7,0,0,2886
31472,recent,7,1,1,2886
31472,recent,7,2,2,2886
31472,recent,7,3,3,2886
31472,recent,7,4,4,2886
31472,recent,7,5,5,2886
31472,recent,7,6,6,2886
31472,recent,7,7,7,2886
31472,recent,7,8,8,2886
31472,recent,7,9,9,2886
31472,recent,8,0,0,2916
31472,recent,8,1,1,2916
31472,recent,8,2,2,2916
31472,recent,8,3,3,2916
31472,recent,8,4,4,2916
31472,recent,8,5,5,2916
31472,recent,8,6,6,2916
31472,recent,8,7,7,2916
31472,recent,8,8,8,2916
31472,recent,8,9,9,2916
31472,serve,0,0,0,3334
31472,serve,0,1,1,3603
31472,serve,0,2,2,3798
31472,serve,0,3,3,4192
31472,serve,0,4,4,4584
31472,serve,0,5,5,5127
31472,serve,0,6,6,5734
31472,serve,0,7,7,6379
31472,serve,0,8,8,6703
31472,serve,0,9,9,6957
31472,clone,0,0,0,4213
31472,clone,0,1,1,5464
31472,clone,0,2,2,6217
31472,clone,0,3,3,7197
31472,clone,0,4,4,7622
31472,clone,0,5,5,10478
31472,clone,0,6,6,10886
31472,clone,0,7,7,11314
31472,clone,0,8,8,15317
31472,clone,0,9,9,15606
31472,clone,1,0,0,11029
31472,clone,1,1,1,12158
31472,clone,1,2,2,13856
31472,clone,1,3,3,14313
31472,clone,1,4,4,17257
31472,clone,1,5,5,17536
31472,clone,1,6,6,18481
32156,find,0,0,0,1217
32156,find,0,1,1,1217
32156,find,0,2,2,1217
32156,find,0,3,3,1217
32156,find,0,4,4,1217
32156,find,0,5,5,1217
32156,find,0,6,6,1217
32156,find,0,7,7,1217
32156,find,0,8,8,1217
32156,find,0,9,9,1217
